customer_id,name,age,gender,region,plan,join_date,churn_yn,churn_date
C001,황하은,66,여,서울,프리미엄,2023-03-31,N,
C002,장소율,35,여,경기,스탠다드,2022-06-14,N,
C003,임소율,65,여,경기,프리미엄,2023-11-11,N,
C004,권지현,65,남,경기,프리미엄,2024-06-28,N,
C005,오성민,46,여,서울,프리미엄,2023-04-12,N,
C006,한나연,70,남,서울,스탠다드,2022-03-08,N,
C007,신지은,33,남,부산,프리미엄,2024-06-11,N,
C008,안시우,69,여,인천,스탠다드,2022-08-29,N,
C009,윤지은,49,여,서울,스탠다드,2022-05-04,N,
C010,정도윤,44,여,서울,프리미엄,2022-12-30,N,
C011,강혜진,64,남,서울,베이직,2022-11-07,Y,2024-08-14
C012,김승우,29,여,부산,스탠다드,2019-06-16,N,
C013,임지은,64,여,인천,스탠다드,2023-12-07,N,
C014,신준혁,24,여,서울,베이직,2022-09-16,N,
C015,안수아,51,남,대구,프리미엄,2019-12-27,N,
C016,윤시우,42,남,경기,프리미엄,2022-01-19,N,
C017,박수아,34,남,경기,프리미엄,2020-03-06,N,
C018,전지현,25,남,서울,스탠다드,2023-02-07,N,
C019,박태양,59,남,부산,스탠다드,2023-07-22,N,
C020,김다은,26,남,경기,스탠다드,2019-09-09,N,
C021,강서연,26,남,경기,스탠다드,2021-08-02,N,
C022,한도윤,66,여,인천,프리미엄,2023-07-09,N,
C023,서재원,48,여,경기,베이직,2020-03-05,Y,2024-10-10
C024,조경수,31,여,경기,베이직,2020-11-17,N,
C025,윤경수,52,여,인천,베이직,2022-05-31,N,
C026,황소율,23,여,서울,스탠다드,2022-02-06,N,
C027,장혜진,66,남,서울,프리미엄,2023-08-20,N,
C028,신지훈,28,남,서울,스탠다드,2024-04-23,N,
C029,황하은,43,여,기타,프리미엄,2022-06-10,N,
C030,이경수,27,남,경기,스탠다드,2020-01-05,N,
C031,최서연,62,여,대구,프리미엄,2023-12-28,N,
C032,윤수아,40,남,서울,스탠다드,2021-06-02,Y,2024-12-01
C033,장지아,55,남,부산,프리미엄,2021-11-19,N,
C034,서소율,56,여,경기,프리미엄,2023-08-27,N,
C035,윤소율,68,여,대구,베이직,2020-12-31,N,
C036,최주원,45,여,서울,스탠다드,2020-05-02,N,
C037,오지은,46,여,경기,베이직,2022-10-15,N,
C038,조건우,61,남,서울,프리미엄,2020-03-05,N,
C039,안태양,61,여,서울,스탠다드,2024-04-12,N,
C040,박현우,34,여,인천,베이직,2022-08-19,N,
C041,임하은,50,여,기타,스탠다드,2021-02-07,N,
C042,정수아,47,여,서울,프리미엄,2024-05-13,N,
C043,류도윤,22,여,인천,스탠다드,2024-04-12,N,
C044,신하은,32,여,대구,베이직,2019-09-12,Y,2024-09-07
C045,정유진,44,남,서울,스탠다드,2019-12-03,N,
C046,정재현,64,여,인천,프리미엄,2020-11-24,N,
C047,한소율,68,남,서울,베이직,2019-10-13,N,
C048,강현우,36,남,대구,스탠다드,2022-12-10,N,
C049,송준혁,28,남,인천,베이직,2019-02-21,N,
C050,최지아,53,여,서울,베이직,2022-12-30,N,
C051,오채원,50,여,기타,스탠다드,2022-10-26,N,
C052,강주원,61,여,인천,스탠다드,2021-01-14,N,
C053,박현우,67,여,서울,스탠다드,2020-10-30,N,
C054,정유진,27,여,서울,프리미엄,2023-03-11,N,
C055,박혜진,50,여,기타,스탠다드,2022-10-13,N,
C056,윤혜진,60,여,인천,스탠다드,2021-09-26,N,
C057,이혜진,33,여,부산,스탠다드,2020-10-04,N,
C058,이태양,59,여,서울,베이직,2020-12-16,Y,2024-09-19
C059,한준혁,31,여,부산,스탠다드,2019-11-23,Y,2024-11-01
C060,장주원,23,여,서울,베이직,2021-01-14,Y,2024-10-01
C061,신승우,35,남,서울,스탠다드,2020-11-01,Y,2024-12-20
C062,전재현,53,여,부산,프리미엄,2020-02-19,N,
C063,최현우,63,여,경기,스탠다드,2021-07-16,N,
C064,이수빈,64,여,대구,스탠다드,2023-08-01,Y,2024-09-07
C065,최나연,60,여,서울,프리미엄,2021-09-18,N,
C066,황수빈,67,여,인천,프리미엄,2021-02-07,N,
C067,장승우,27,남,서울,스탠다드,2024-03-13,N,
C068,신하은,68,남,서울,프리미엄,2020-07-06,Y,2024-09-24
C069,강지은,35,여,부산,베이직,2023-09-03,N,
C070,장지현,42,남,경기,스탠다드,2019-08-10,N,
C071,김민지,56,여,경기,프리미엄,2023-05-22,Y,2024-08-06
C072,오도윤,54,남,경기,프리미엄,2021-01-21,N,
C073,정준혁,41,남,경기,베이직,2019-06-14,N,
C074,박지은,20,남,대구,베이직,2021-08-13,N,
C075,조지은,50,여,기타,스탠다드,2023-04-27,N,
C076,안경수,44,여,대구,프리미엄,2022-07-19,N,
C077,정지은,43,남,서울,베이직,2024-05-22,N,
C078,정도윤,46,남,인천,스탠다드,2022-10-26,N,
C079,서건우,56,남,부산,스탠다드,2022-06-12,N,
C080,최성민,62,여,서울,스탠다드,2022-04-03,N,
C081,안태양,49,남,인천,스탠다드,2023-01-15,N,
C082,류지아,67,여,기타,스탠다드,2024-03-17,N,
C083,전현우,35,남,기타,스탠다드,2024-05-02,N,
C084,김현우,49,여,서울,프리미엄,2019-11-30,N,
C085,류도윤,34,남,경기,스탠다드,2021-06-13,N,
C086,권나연,53,남,경기,스탠다드,2020-09-07,N,
C087,김다은,32,여,기타,스탠다드,2021-06-15,N,
C088,박태양,50,여,서울,스탠다드,2020-12-01,N,
C089,정준혁,25,남,경기,스탠다드,2020-03-23,N,
C090,강하은,25,여,경기,프리미엄,2023-03-31,N,
C091,임민지,66,여,인천,스탠다드,2024-06-02,N,
C092,윤경수,44,여,서울,프리미엄,2019-03-30,Y,2024-09-11
C093,강혜진,33,남,대구,베이직,2019-10-15,N,
C094,박재현,70,남,대구,베이직,2019-02-02,N,
C095,송지은,58,여,서울,베이직,2020-09-16,N,
C096,오주원,69,여,서울,프리미엄,2023-03-04,N,
C097,권나연,40,여,기타,베이직,2021-07-19,Y,2024-09-12
C098,최수빈,30,남,인천,프리미엄,2021-12-17,N,
C099,서하은,42,남,서울,스탠다드,2019-05-31,N,
